id,city_id,iata_code,icao_code,lat,lon
398,406,COJ,YCBB,-31.3325,149.267
399,256,CVC,YCEE,-33.7097,136.505
400,418,CMQ,YCMT,-22.7731,147.621
401,399,CMA,YCMU,-28.03,145.62199
402,472,CUQ,YCOE,-13.7608,143.114
403,407,OOM,YCOM,-36.29379,148.97397
404,392,DRN,YDBI,-28.5917,148.217
405,250,DRB,YDBY,-17.36983,123.66282
406,468,DYA,YDYS,-22.6222,148.364
407,461,ELC,YELD,-12.0194,135.571
408,383,FRB,YFBS,-33.3636,147.935
409,248,FIZ,YFTZ,-18.1819,125.559
410,375,GUL,YGLB,-34.8103,149.726
411,491,GPN,YGPT,-11.40048,130.42522
412,268,GTE,YGTE,-13.975,136.46001
413,370,HLT,YHML,-37.64997,142.06181
414,448,KPS,YKMP,-31.0744,152.77
415,359,KWM,YKOW,-15.4856,141.75101
416,300,KGY,YKRY,-26.5808,151.841
417,238,MNG,YMGD,-12.0561,134.23399
418,471,WME,YMNE,-27.28583,120.55105
419,456,MOV,YMRB,-22.0578,148.077
420,332,NRA,YNAR,-34.7022,146.51199
421,474,RPM,YNGU,-14.7228,134.74699
422,329,NTN,YNTN,-17.68763,141.07208
423,220,PUG,YPAG,-32.5069,137.717
424,536,PPI,YPIR,-33.2389,137.995
425,540,PTJ,YPOD,-38.31913,141.47032
426,318,ULP,YQLP,-26.6122,144.25301
427,215,MJK,YSHK,-25.88937,113.57554
428,501,TEF,YTEF,-21.715,122.229
429,291,TWB,YTWB,-27.5428,151.916
430,318,WNR,YWDH,-25.4131,142.66701
431,210,WYA,YWHA,-33.0589,137.51401
432,283,WKB,YWKB,-36.3211,142.41901
433,282,QRR,YWRN,-31.7333,147.80299
434,272,WIN,YWTN,-22.3636,143.086
435,318,AAB,YARY,-26.69317,141.0478
436,440,ABM,YNPE,-10.9508,142.459
437,216,ADO,YAMK,-30.4383,137.13699
438,497,AGW,,-12.1456,142.149
439,541,AMT,YAMT,-26.09888,131.20384
440,489,AMX,YAMM,-21.73746,135.2435
441,467,AUD,YAGD,-18.5055,139.88389
442,241,AVG,YAUV,-15.69,130.009
443,259,AWP,YAUS,-20.493,137.766
444,439,AXC,YAMC,-22.9667,145.242
445,259,AXL,YALX,-19.0602,136.71001
446,211,AYD,,-19.2908,136.07899
447,211,AYL,YANL,-18.0217,135.54201
448,444,AYR,YAYR,-19.5844,147.32899
449,393,BCK,YBWR,-17.3883,144.16901
450,485,BDD,YBAU,-10.15004,142.17476
451,409,BFC,YBMD,-15.8736,145.33
452,392,BLS,YBLL,-28.0583,147.483
453,483,BMP,YBPI,-20.805,149.28
